subject,birthdate,deathdate,age_at_death,species,sex,social_environment,housing,diet,measurement,measurements,y0,y0.25,y0.5,y0.75,y1,y1.25,y1.5,y1.75,y2,y2.25,y2.5,y2.75,y3,y3.25,y3.5,y3.75,y4,y4.25,y4.5,y4.75,y5,y5.25,y5.5,y5.75,y6,y6.25,y6.5,y6.75,y7,y7.25,y7.5,y7.75,y8,y8.25,y8.5,y8.75,y9,y9.25,y9.5,y9.75,y10,y10.25,y10.5,y10.75,y11,y11.25,y11.5,y11.75,y12,y12.25,y12.5,y12.75,y13,y13.25,y13.5,y13.75,y14,y14.25,y14.5,y14.75,y15,y15.25,y15.5,y15.75,y16,y16.25,y16.5,y16.75,y17,y17.25,y17.5,y17.75,y18,y18.25,y18.5,y18.75,y19,y19.25,y19.5,y19.75,y20,y20.25,y20.5,y20.75,y21,y21.25,y21.5,y21.75,y22,y22.25,y22.5,y22.75,y23,y23.25,y23.5,y23.75,y24,y24.25,y24.5,y24.75,y25,y25.25,y25.5,y25.75,y26,y26.25,y26.5,y26.75,y27,y27.25,y27.5,y27.75,y28,y28.25,y28.5,y28.75,y29,y29.25,y29.5,y29.75,y30,y30.25,y30.5,y30.75,y31,y31.25,y31.5,y31.75,y32,y32.25,y32.5,y32.75,y33,y33.25,y33.5,y33.75,y34,y34.25,y34.5,y34.75,y35,y35.25,y35.5,y35.75,y36,y36.25,y36.5,y36.75,y37,y37.25,y37.5,y37.75,y38,y38.25,y38.5,y38.75,y39,y39.25,y39.5,y39.75,y40,y40.25,y40.5,y40.75,y41,y41.25,y41.5,y41.75,y42,y42.25,y42.5,y42.75,y43,y43.25,y43.5,y43.75,y44,y44.25,y44.5,y44.75,y45,y45.25,y45.5,y45.75,y46,y46.25,y46.5,y46.75,y47,y47.25,y47.5,y47.75,y48,y48.25,y48.5,y48.75,y49,y49.25,y49.5,y49.75,y50,y50.25,y50.5,y50.75,y51,y51.25,y51.5,y51.75,y52,y52.25,y52.5,y52.75,y53,y53.25,y53.5,y53.75,y54,y54.25,y54.5,y54.75,y55,y55.25,y55.5,y55.75,y56,y56.25,y56.5,y56.75,y57,y57.25,y57.5,y57.75,y58,y58.25,y58.5,y58.75,y59,y59.25,y59.5,y59.75,y60,y60.25,y60.5,y60.75,y61,y61.25,y61.5,y61.75,y62,y62.25,y62.5,y62.75,y63,y63.25,y63.5,y63.75,y64,y64.25,y64.5,y64.75,y65,y65.25,y65.5,y65.75,y66,y66.25,y66.5,y66.75,y67,y67.25,y67.5,y67.75,y68,y68.25,y68.5,y68.75,y69,y69.25,y69.5,y69.75,y70
Al-Ch-11,1970-01-01,,,Chimpanzee,Male,Social,Mixed,Chow,Lymphocytes-%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,58,53,,54,,,,51,44.5,,,46,,43,,47,,44,,,60,56,,46,,,53,,,,,49,,29,,53,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9,,,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-12,1975-08-10,,,Chimpanzee,Male,Social,Mixed,Chow,Lymphocytes-%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-13,1975-02-25,,,Chimpanzee,Male,Social,Mixed,Chow,Lymphocytes-%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,23,,15,,36,,,,,,44,,22,,,25,,,44,,41,,22,,43,,73,,31,39,,39,,,31,28,,,25,,,,29,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,17.2,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-14,1973-07-01,,,Chimpanzee,Female,Social,Mixed,Chow,Lymphocytes-%,26,,,,,,,,,,,,,,,,,,,,,,,,30,,,,31,,,,,,,,,,,,,,,,,,,,,,,,69,,,32.5,,,,,,,,37,,,,,,,55,,33,,52.5,,,27,,25,,32,,,58,,,56,,50,,58,,65,48,,28,,,,,51,,,28,,,19,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-15,1977-05-10,,,Chimpanzee,Female,Social,Mixed,Chow,Lymphocytes-%,27,,,,,,,,,,,,,,,,,,,,,,,,45,,,38,,,,,,,,,,,,,,,24,,,,65,,51,,,,,,37,45,,56,27,,,50,36,,,54,67,,,50.5,,53,,25,,65,,,46,53,,51,,,,,66,35,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-16,1977-11-30,,,Chimpanzee,Male,Social,Mixed,Chow,Lymphocytes-%,35,,,,,,,,,,,,,,,,,,,,,,61,,,35,16,,,,,,,,,,,33,,51,39,31,44,58,,63,,,,,,37,,,,,29,,21,,41,,,30,,,47,,33,,42,,59,,50,,36.5,,,37,29,,38,27,,,19,19,,,,,,,19,,26,,,,,9,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-17,1977-12-26,,,Chimpanzee,Female,Social,Mixed,Chow,Lymphocytes-%,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,38,,,,,,,31,,35,,44,,46,,39,,45,52.5,64.5,,47,,60,,51,,34,,66,,60,,37,,,31,,35,,,,43,,,36,,,,48,,,2.19802,,,,,16.8,,,11.5,,,,38,,,22.6,,15.1,,,,,14.5,,,,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-18,1967-01-01,2009-09-03,42.67,Chimpanzee,Male,Social,Mixed,Chow,Lymphocytes-%,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,71,66,61,66,69,69.5,49,53,16,19,9,9,18,35.5,,19.5,,16,12,69,42,,,31,28,,,,37,25,,46,,49,,,,,,20,,61,,,31,,21,,,,,,20,,,,,,,,,11.2,,,22.6,,,,,18.5,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-19,1960-01-01,,,Chimpanzee,Male,Social,Mixed,Chow,Lymphocytes-%,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,45,,35,,33,,29,,59.5,,,44,,,,49,62,,45,45,,26,,19,,24,,57,48,,33,,41,,,23,,34,24,,40,,43,,,,43,,25,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-2,1964-01-01,,,Chimpanzee,Female,Social,Mixed,Chow,Lymphocytes-%,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,63,,61,,,,67,29.5,,71,,51,,48,,54,,30,,27,,,,17,,,67,,60,,61,,62,38,,29,,,,,17,,26,,,,7,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-20,1979-02-26,2010-04-27,31.17,Chimpanzee,Male,Social,Mixed,Chow,Lymphocytes-%,36,,,,,,,,,,,,,,,,,,,,,,40,52,,,,,,,,,,,,62,70,,,,64,,58.5,61,57,,,,44.5,,14,,,39,,25,,,42,,20,,,41,,52,,51,,43,,49,,39,,52,,,,41,53,,,,27,,,,,,,21,,,,,18,,,13.5,,,,18.5,,,,,11,,,10.4,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-21,1979-06-18,,,Chimpanzee,Female,Social,Mixed,Chow,Lymphocytes-%,37,,,,,,,,,,,,,,,,,,,,,,,67,,,,,65,,,58,,,,,,,,55,,68,57,,57,,,,63.5,,54.5,53,,,65,,39,,63,,39,,,65,,60,,41,,62,64,,62,,,,,47,,61,,,,60,,,,,,,26,,,,,,21,,18.65,,,,,36.7,,,,22.2,,,,,24,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-22,1980-01-19,,,Chimpanzee,Female,Social,Mixed,Chow,Lymphocytes-%,35,,,,,,,,,,,,,,,,63.5,77,,,,,,,,,43,57,,,,24,32,,,,,,,,46,,,44,,30.5,,,61,,60,,61,,44,,62,,72,,35,40,,,68,,,46,49,,31,,,,,63,,40,,,,55,,,,39,33,,,,,,,16.7,25,13.7,,,,23.1,,,,,36.1,,,43.1,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-23,1971-07-01,,,Chimpanzee,Female,Social,Mixed,Chow,Lymphocytes-%,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,54,,,45,,,,,,,24,,,,,,,59,57,,,,48,,53,,,,,,,,,62,,57,,,40,,48,,41,,,47,,,49,,32,,42,,48,46,,35,,,,,29,,,46,,,44,,,,,,,,19,,,,,10.5,,,14.5,,,,18.3,,,,34.8,,19.7,,,,16.7,,,,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-24,1981-05-01,,,Chimpanzee,Male,Social,Mixed,Chow,Lymphocytes-%,30,,,,,,,,,,,,,,,,,,,,,,,,,,40,44,55,44,,,46,,,,,,,,,,,,,38,,41,,,30,,33.5,,,38,,,18.5,41,,42,33,,,35,,23,,31,,,23,2,,,,,,,,,,23,,,,,12,,,,19.6,,,21.3,,,,15.3,,,,,19.6,,,,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-25,1981-06-29,,,Chimpanzee,Female,Social,Mixed,Chow,Lymphocytes-%,56,,,,,33,53,61,,58,,69,,69,48.5,75,,55,,22,,56,,35,73,,,46,,40,,50,,61,,,,,,53,,,29,25,33,51,,,56,53,,,44,,15,,54,,58,,32,,54,,56,,,,,24,,63,,,,49,,,,,,,,29,,,,,24.3,,,,27,,38.6,,,,34.7,,,,37.9,,,,43.5,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-26,1975-05-11,,,Chimpanzee,Male,Social,Mixed,Chow,Lymphocytes-%,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,41,,,,,,,,,,13,,16,,21,,39,,38,62,41,,44,,,,,,,29,,,,14,,16,,30,,38,,,24,,56,,48,,51,,39,,21,,,,,,28,,49,,,,32,,,,,,,25,,,,12,,,,,9.6,,,14.7,,,,22.5,,10.5,,,,15.7,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-27,1981-09-18,,,Chimpanzee,Male,Social,Mixed,Chow,Lymphocytes-%,22,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,60,,,,,43,70,19,46,22,,20,,24.5,,,19,,49,,,,,35,37,49,,21,,25,22,,,,,,39,,11,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-28,1982-01-15,,,Chimpanzee,Male,Social,Mixed,Chow,Lymphocytes-%,73,,,69,56,22,70,,68,67,65,41,64,,54.5,,33.5,,60,28,,,,46,32,31,57,,,,42,,,,,,,,53,,,28,,,30,,42,,,43,,37,,29,,,34,,34,18,42,,27,,,16,11,,,24,,,,21,,,,,,,22,,,,,11,,,,,13.6,,,24,,,,20.2,,23.7,,,,9.6,,,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-29,1982-06-30,,,Chimpanzee,Female,Social,Mixed,Chow,Lymphocytes-%,39,,35,,,,,,,,,,,,,,22,,,27,,,52,62,33,,,65,,,,21,,66,40.5,51,,1,58,28,,,31,55,,,,,24,46,,41,,22,,18,39,,37,,27,,,,,13,,28,,,,5,,,,,,,24,,,,,,13.1,,,11.4,,19.9,,,,20.8,,,,9.3,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Al-Ch-3,1970-03-10,,,Chimpanzee,Male,Social,Mixed,Chow,Lymphocytes-%,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,54,48,,,,,68,,28,,32,,,,46,,55,,44,,35,,52,44,48,,,43,,,15,12,,,13,,56,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
