subject,birthdate,deathdate,age_at_death,species,sex,social_environment,housing,diet,measurement,measurements,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70
DL-Dm-10,2005-02-22,,,Aye-aye,Male,Mixed,Inside,Chow,Monocytes-Abs,3,,530,,276,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-11,2008-07-23,2016-05-11,7.80,Aye-aye,Male,Mixed,Inside,Chow,Monocytes-Abs,3,,108,555,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-12,2009-04-03,2016-10-25,7.56,Aye-aye,Male,Mixed,Inside,Chow,Monocytes-Abs,2,,,82,,,,671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-13,1993-10-08,1998-12-20,5.20,Aye-aye,Female,Mixed,Inside,Chow,Monocytes-Abs,6,90,574.5,,,,1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-14,1996-04-15,,,Aye-aye,Female,Mixed,Inside,Chow,Monocytes-Abs,12,,,,574,,810,655,,504,,447,,,455,,,1280,,381,,734,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-15,1998-01-06,,,Aye-aye,Female,Mixed,Inside,Chow,Monocytes-Abs,7,,,,1512,,,,254,,,244,,1344,,540,,,655,,,,1107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-16,2001-07-30,,,Aye-aye,Female,Mixed,Inside,Chow,Monocytes-Abs,7,,,,392,,399,335,,774,,258,,,,195,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-17,2001-09-05,,,Aye-aye,Female,Mixed,Inside,Chow,Monocytes-Abs,2,,,,889,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-18,2003-10-14,,,Aye-aye,Female,Mixed,Inside,Chow,Monocytes-Abs,7,,,206.5,,,109,,,178,,,,280,1186.5,,140.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-19,2004-09-10,,,Aye-aye,Female,Mixed,Inside,Chow,Monocytes-Abs,2,,280,,,,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-2,1992-10-23,1998-02-05,5.29,Aye-aye,Male,Mixed,Inside,Chow,Monocytes-Abs,7,50,235,361.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-20,2005-09-05,2016-10-26,11.14,Aye-aye,Female,Mixed,Inside,Chow,Monocytes-Abs,7,,436,408,,,1001,,770,,888,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-21,2005-12-30,,,Aye-aye,Female,Mixed,Inside,Chow,Monocytes-Abs,4,130,,1040,196,,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-22,2007-08-21,,,Aye-aye,Female,Mixed,Inside,Chow,Monocytes-Abs,4,294,,,910,,366,,1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-3,1994-06-05,2016-10-25,22.39,Aye-aye,Male,Mixed,Inside,Chow,Monocytes-Abs,16,157,143.5,,224,,,,,468,,,,,552,,,,,,660,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-4,1994-08-25,,,Aye-aye,Male,Mixed,Inside,Chow,Monocytes-Abs,15,346,657,258,,,,,,474,,,300,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-5,1998-02-08,2008-11-13,10.76,Aye-aye,Male,Mixed,Inside,Chow,Monocytes-Abs,5,,747,,160,,,360,,268,,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-6,1998-06-16,,,Aye-aye,Male,Mixed,Inside,Chow,Monocytes-Abs,7,,530,888,146,,,176,,309,1017,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-7,2001-01-07,,,Aye-aye,Male,Mixed,Inside,Chow,Monocytes-Abs,3,,,324,,,,,,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-8,2001-10-25,2015-01-19,13.24,Aye-aye,Male,Mixed,Inside,Chow,Monocytes-Abs,3,,,,1323,,564,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-Dm-9,2003-09-26,2016-03-29,12.51,Aye-aye,Male,Mixed,Inside,Chow,Monocytes-Abs,4,,,408,,693.5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-1,1977-07-18,2003-04-11,25.73,Crowned lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,4,,,,,,,,,,,,,,,,,,127,0,,,,,,0,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-10,1996-05-01,2019-09-24,23.40,Crowned lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,1,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-11,1980-04-28,1997-02-23,16.82,Crowned lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-12,1988-05-18,2001-01-31,12.70,Crowned lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-13,1989-04-17,2004-12-07,15.64,Crowned lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,6,,,,,0,68,,,,,,256,195,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-14,1990-04-18,2019-12-20,29.67,Crowned lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,5,,,,,,0,,,,,,,160,210,,,,,,,124,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-15,1991-05-13,1997-09-14,6.34,Crowned lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,2,,,,,30,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-16,1992-04-06,2018-10-25,26.55,Crowned lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,8,,,,84,,,,,,240,,200,,,135,,330,,,124,,,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-17,1992-05-15,2017-10-30,25.46,Crowned lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,3,,,,73,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-18,1994-05-05,2019-02-01,24.74,Crowned lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,2,,59,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-19,1995-05-03,2015-04-20,19.96,Crowned lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,1,,,,1920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-2,1984-05-29,2011-10-24,27.40,Crowned lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,7,,,,,,,,,,,,23,,,,,,0,,,,124,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-20,1995-05-03,2014-06-03,19.08,Crowned lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,7,,,,,,,240,243,141,,,174,183,,0,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-21,1996-05-01,2007-07-14,11.20,Crowned lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,3,,,,,,164,,90,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-22,2002-04-15,,,Crowned lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,4,,,,,,,,,,198,,196,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-3,1987-05-01,2013-10-29,26.49,Crowned lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,7,,,,,,,,0,31,,,82,,,228,,70,,,,,252,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-4,1990-04-11,2014-02-25,23.87,Crowned lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,6,,,,,,,,,,,,0,255,,,,236,,244,228,,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-5,1991-05-21,2005-10-31,14.44,Crowned lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,5,,,0,,0,,,,,,,288,651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-6,1991-06-04,2008-05-29,16.99,Crowned lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,4,,,,,,540,,,,,,496,424,,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-7,1992-04-06,1999-01-22,6.79,Crowned lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,2,,,,0,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-8,1994-05-30,2018-02-10,23.70,Crowned lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,2,,174,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-ec-9,1995-04-30,2019-12-12,24.62,Crowned lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,4,,,,,,,540,,170,,,340,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-1,1974-04-09,1997-09-28,23.47,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,2,,,,,,,,,,,,,,,,,,,,300,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-10,1991-06-13,2016-04-12,24.83,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,1,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-11,1991-06-17,,,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,1,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-12,1992-03-26,2005-04-04,13.02,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,2,,,0,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-13,1971-05-04,1997-12-05,26.59,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,1,,,,,,,,,,,,,,,,,,,,,,,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-14,1994-06-15,2020-04-16,25.84,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,1,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-15,1991-06-15,,,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,1,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-16,1995-04-09,,,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,2,,,,,,,,,,216,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-17,1995-05-26,2014-11-26,19.50,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,6,,,,,,,,390,52,,,260,282,,279,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-19,1997-03-21,,,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,5,,,,354,,,212,,,238.5,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-2,1982-09-01,1995-02-22,12.47,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,1,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-20,1997-06-11,,,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,10,,,,,232,,,159,,374.5,372,,206.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-21,2006-06-02,,,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,5,,,,138.5,350,,96,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-22,1976-05-15,2007-02-14,30.75,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,5,,,,,,,,,,,,,,,,,,,48,,,,,,49,,192,,224,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-23,1982-09-01,2012-12-14,30.29,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,8,,,,,,,,,,,,,497,,,,,,,114,68,,,,128,126,,46,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-24,1983-11-17,2017-07-14,33.66,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,4,,,,,,,,,,110,,,,,,,,,93,,54,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-26,1985-06-21,2003-11-22,18.42,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,2,,,,,,,,,,92,,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-27,1986-04-04,2017-01-30,30.82,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,3,,,,,,,240,,82,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-3,1984-10-15,2011-06-18,26.67,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,9,,,,,,,,,,,0,,,,,,,102,144,,,,75,121.5,284.5,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-30,1990-03-19,2020-05-03,30.12,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,11,,,,,0,,,,,,,,76,,234,,168,,,82,150,,34,,49,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-31,1990-06-17,,,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,9,,,,0,,,,,,,,,,,,132,,64,,23,,0,,,459,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-32,1991-05-10,2012-11-14,21.51,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,5,344,,,0,,,,,,,,114,114,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-33,1993-04-11,,,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,6,,0,,,,,,,,144,,92,,152,,215,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-34,1993-05-11,2020-03-20,26.86,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,5,,496,,,,,,,153,,540,,92,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-35,1995-05-19,,,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,4,,,,,,,,264,,252,330,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-37,1996-04-22,,,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,5,,,,,,100,,76,,,0,,96,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-38,1997-04-18,,,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,6,,,,,,,,350,,150,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-39,1997-06-26,2017-04-05,19.77,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,13,,,,,,86,,132,,68,,,134,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-4,1986-04-04,2018-05-21,32.13,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,5,,,,,,,,,138,,,,,,,,50,,,,120,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-40,1988-04-15,2018-08-11,30.32,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,7,,,,,,,,,,,,,,,126,106,,,220,,216,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-41,1984-04-12,1995-12-24,11.70,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-43,1988-04-15,2019-02-08,30.81,Mongoose Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-5,1986-05-20,2015-12-14,29.57,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,5,,,,,,,,,,,,,,,,,165,,120,,232,138,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-6,1988-04-02,2001-01-10,12.77,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,1,,,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-7,1988-05-06,1998-11-30,10.57,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,1,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-em-8,1987-05-13,2014-10-04,27.39,Mongoose Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,8,,,,,,,,90,,,,,,,420,150,,,,250,,222,,160,,106,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-er-1,1988-04-21,,,Red-bellied Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,10,,,,,,,,70,59,,,,,,,,,,,324,297,,,280,,136,,456,,344,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-er-10,1992-05-25,2006-12-15,14.56,Red-bellied Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,3,,,45,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-er-11,1993-09-10,2010-04-29,16.64,Red-bellied Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,6,,59,,448,,142,,,26,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-er-2,1990-03-01,2015-08-25,25.48,Red-bellied Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,7,,,,0,71,110,,,,,,,,,,234,408,,,,,,,476,,692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-er-3,1992-04-21,2005-07-09,13.22,Red-bellied Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,2,,,,0,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-er-4,1994-06-03,2016-10-03,22.33,Red-bellied Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,3,,272,,,,,,360,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-er-5,1995-04-07,2015-06-16,20.19,Red-bellied Lemur,Female,Mixed,Mixed,Chow,Monocytes-Abs,6,,,,,,,,,59,4,372,,,460,,194,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-er-6,1986-06-12,2015-09-08,29.24,Red-bellied Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,9,,,,,,,,82,78,,,,198,,,,222,328,,285,,,415,,438,,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL-er-7,1988-04-21,,,Red-bellied Lemur,Male,Mixed,Mixed,Chow,Monocytes-Abs,4,,,,,,,485,38,,,,,74,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
